OBJECTID,ELEVATION,HYDRANTID,FFW,LAT,LON
1955.00000,393.41542,LEAV 3281,2083.00000,35.4297977,-79.1366393
1956.00000,364.86836,LEAV 3783,2229.00000,35.4269593,-79.1368160
1957.00000,370.30220,CDRH 1206,2340.00000,35.4258466,-79.1377363
1958.00000,342.78555,CDRH 1316,2368.00000,35.4256910,-79.1398660
1959.00000,339.10155,GLNN 1358,2396.00000,35.4261389,-79.1408364
1960.00000,317.86290,FRNR 1308,2521.00000,35.4248296,-79.1406127
1961.00000,310.58382,FRNR 1218,2521.00000,35.4243370,-79.1393099
1962.00000,344.99638,WDST 5000,2410.00000,35.4251654,-79.1388089
1963.00000,290.36932,LCHM 99,2618.00000,35.4219376,-79.1370275
1964.00000,330.05464,LCHM 115,2458.00000,35.4223438,-79.1352117
1965.00000,351.11583,LCHM 133,2312.00000,35.4227630,-79.1336438
1966.00000,330.29735,227,2417.00000,35.4218593,-79.1338684
1967.00000,303.82864,LCHM 201,2507.00000,35.4214517,-79.1355721
1968.00000,387.06501,BRWD 5110,2104.00000,35.4220254,-79.1426657
1969.00000,379.46432,AMBR 5109,2153.00000,35.4229229,-79.1436345
1970.00000,373.95632,OVRL 1509,2181.00000,35.4222095,-79.1415009
1971.00000,388.07636,ARWD 5206,2104.00000,35.4217530,-79.1438965
1972.00000,391.55153,ARWD 5310,2083.00000,35.4210678,-79.1448621
1973.00000,393.57075,ARWD 5372,2062.00000,35.4217635,-79.1451726
1974.00000,379.93277,ASPN 5219,2153.00000,35.4202990,-79.1460950
1975.00000,376.49306,TMBR 5300,2160.00000,35.4213607,-79.1466772
1976.00000,373.59727,48B-32,2181.00000,35.4233524,-79.1450176
1977.00000,383.78546,LEAV 3953,2125.00000,35.4207238,-79.1429184
1978.00000,398.11573,LEAV 4163,2139.00000,35.4189945,-79.1456922
1979.00000,401.05196,LEAV 4307,2021.00000,35.4181903,-79.1469893
1980.00000,384.23629,STAC 2556,2111.00000,35.4164162,-79.1502680
1981.00000,386.88226,LEAV 4601,2097.00000,35.4166143,-79.1498553
1982.00000,378.73335,LRLR 1638,2146.00000,35.4196598,-79.1416960
1983.00000,371.42982,STHP 4913,2194.00000,35.4192357,-79.1398843
1984.00000,368.96962,NPTF 5012,2215.00000,35.4196116,-79.1392709
1985.00000,377.24658,NPTE 4924,2181.00000,35.4208087,-79.1392668
1986.00000,363.57304,NTPF 4808,2236.00000,35.4218751,-79.1396759
1987.00000,390.06319,ESTP 1223,2083.00000,35.4204831,-79.1403854
1988.00000,364.33795,LRLR 5107,2250.00000,35.4181136,-79.1410530
1989.00000,335.89147,LRLR 5209,2278.00000,35.4171718,-79.1408275
1990.00000,352.45391,FSTP 1235,2347.00000,35.4184788,-79.1393450
1991.00000,316.95811,STHP 5135,2507.00000,35.4181147,-79.1377286
1992.00000,382.93415,WSTP 1216,2125.00000,35.4208473,-79.1415497
1993.00000,372.78376,ESTLP 1408,2174.00000,35.4185690,-79.1425729
1994.00000,364.45892,ESTP 1509,2201.00000,35.4176359,-79.1423244
1995.00000,405.71076,MTPL 2937,2049.00000,35.4491930,-79.1080177
1996.00000,417.71483,MTPL 2807,1965.00000,35.4511687,-79.1073979
1997.00000,422.58427,MTPO 700,1965.00000,35.4519958,-79.1071347
1998.00000,427.99741,MTPL 1753,1903.00000,35.4534578,-79.1067109
1999.00000,407.49120,NT,2042.00000,35.4491363,-79.1090825
2000.00000,402.52904,CRCK 2018,2062.00000,35.4485810,-79.1093951
2001.00000,420.00188,HOPE 1987,1944.00000,35.4484946,-79.1117996
2002.00000,412.80072,HOPE 2069,2007.00000,35.4490940,-79.1108623
2003.00000,414.30358,NT,1979.00000,35.4476402,-79.1130753
2004.00000,422.83618,NT,2028.00000,35.4486372,-79.1140823
2005.00000,454.34376,60A-16,2062.00000,35.4494979,-79.1149846
2006.00000,399.49432,CRCK 1807,2076.00000,35.4462707,-79.1130497
2007.00000,400.23632,CRCK 1976,2090.00000,35.4469753,-79.1109063
2008.00000,359.95385,CXMX 562,2083.00000,35.4433870,-79.1181227
2009.00000,338.87917,CXMX 662,2410.00000,35.4435171,-79.1156495
2010.00000,373.09112,CXMX 548,2257.00000,35.4426564,-79.1135338
2011.00000,392.13045,CXMX 706,2132.00000,35.4420642,-79.1120055
2012.00000,368.09046,CXMX 714,2319.00000,35.4413775,-79.1103900
2013.00000,388.27407,CXMX 880,2035.00000,35.4384790,-79.1047479
2014.00000,376.99092,CXML 3708,2090.00000,35.4387433,-79.0985584
2015.00000,405.95793,NGTE 3811,1979.00000,35.4336110,-79.1646580
2016.00000,397.36713,LMSP 3710,2028.00000,35.4321214,-79.1667008
2017.00000,395.32843,MDOW 2603,2035.00000,35.4316389,-79.1648852
2018.00000,380.61557,NT,2132.00000,35.4288077,-79.1654031
2019.00000,388.85284,NT,2090.00000,35.4285516,-79.1626420
2020.00000,408.50441,NT,1965.00000,35.4307896,-79.1632944
2021.00000,407.34961,HNSP 3901,1965.00000,35.4325856,-79.1631577
2022.00000,407.06388,HNSP 4121,1972.00000,35.4306783,-79.1611285
2023.00000,404.15540,STAC 1374,1986.00000,35.4301893,-79.1606024
2024.00000,468.46499,KLRA 707,1556.00000,35.4497026,-79.2142918
2025.00000,443.23406,KLRA 1605,1778.00000,35.4513254,-79.2136523
2026.00000,492.57202,DIS-28,1333.00000,35.4433106,-79.2157004
2027.00000,476.64107,DIS-26,1528.00000,35.4486989,-79.2153488
2028.00000,449.05518,WST0 1322,1708.00000,35.4522957,-79.2140559
2029.00000,411.57931,DNBR 2206,1938.00000,35.4340636,-79.1634957
2030.00000,394.88122,CRSN 4000,2056.00000,35.4353050,-79.1633868
2031.00000,400.90772,BRKS 2584,2007.00000,35.4365289,-79.1642807
2032.00000,379.65368,CRSN 4104,2125.00000,35.4352670,-79.1605474
2033.00000,389.40274,CRSN 4204,2097.00000,35.4336873,-79.1591484
2034.00000,392.87978,CRSN 4342,2056.00000,35.4316271,-79.1600255
2035.00000,404.16650,DNBR 2466,2007.00000,35.4332019,-79.1609944
