DEMAND,HEAD,PRESSURE,LAT,LON
0.000,609.61,47.08,35.4348125,-79.2164980
0.000,609.62,46.27,35.4338325,-79.2156539
0.000,609.62,46.28,35.4337403,-79.2155321
0.000,609.62,46.42,35.4338618,-79.2154495
0.000,609.61,47.25,35.4348557,-79.2165289
0.000,609.61,47.74,35.4352513,-79.2168118
0.000,609.61,47.91,35.4353155,-79.2168552
0.001,608.91,62.58,35.4291421,-79.2156872
0.000,608.91,64.25,35.4290536,-79.2155965
0.001,608.91,62.63,35.4292365,-79.2155607
0.000,609.71,47.51,35.4370987,-79.2182194
0.000,609.71,47.59,35.4371743,-79.2179444
0.000,609.71,47.65,35.4371380,-79.2180764
0.005,609.71,47.62,35.4375748,-79.2182226
0.000,609.71,48.48,35.4391081,-79.2173882
0.000,609.71,48.48,35.4391677,-79.2173557
0.006,609.71,48.48,35.4392794,-79.2172949
0.000,609.71,48.50,35.4388574,-79.2175246
0.001,582.84,82.77,35.4545673,-79.2485206
0.000,582.80,83.87,35.4546215,-79.2486366
0.000,582.84,83.12,35.4544415,-79.2486429
0.001,580.80,82.69,35.4572467,-79.2541272
0.001,580.76,82.29,35.4573009,-79.2542434
0.001,580.76,82.09,35.4571632,-79.2543400
0.000,498.03,60.85,35.4666180,-79.2486838
0.000,498.03,61.13,35.4665817,-79.2487128
0.000,498.03,61.21,35.4665287,-79.2487553
0.001,498.03,60.68,35.4666643,-79.2486439
0.001,498.02,67.61,35.4653732,-79.2495215
0.001,498.01,78.12,35.4642047,-79.2508047
0.000,498.01,81.98,35.4637071,-79.2521338
0.001,615.78,66.99,35.4566368,-79.2298679
0.000,615.78,69.58,35.4565422,-79.2300163
0.000,619.51,88.27,35.4665108,-79.2334922
0.001,619.56,88.07,35.4666327,-79.2336220
0.000,619.56,89.10,35.4665214,-79.2337605
0.001,613.52,64.00,35.4538131,-79.2249963
0.003,613.52,63.92,35.4538587,-79.2250656
0.000,613.51,64.18,35.4537614,-79.2249177
0.005,613.31,88.61,35.4566767,-79.2238579
0.000,613.31,87.24,35.4565573,-79.2237447
0.003,613.24,87.61,35.4568799,-79.2223176
0.000,613.24,88.73,35.4569262,-79.2221805
0.001,613.24,91.15,35.4570093,-79.2219388
0.000,613.17,78.44,35.4551663,-79.2230505
0.001,613.17,72.91,35.4547988,-79.2239489
0.000,613.18,77.81,35.4553653,-79.2230500
0.002,613.16,79.11,35.4550348,-79.2230501
0.002,613.18,77.44,35.4554784,-79.2230484
0.000,613.18,76.86,35.4554822,-79.2232321
0.001,610.56,97.32,35.4588541,-79.2213789
0.001,610.56,100.68,35.4585235,-79.2222503
0.001,511.09,51.30,35.4584209,-79.2166221
0.000,511.09,49.32,35.4584132,-79.2164534
0.000,610.62,91.07,35.4558841,-79.2158243
0.002,610.62,92.16,35.4559175,-79.2158923
0.000,610.62,92.61,35.4558576,-79.2159579
0.001,610.61,92.80,35.4555188,-79.2163290
0.000,610.63,90.24,35.4558439,-79.2157423
0.000,610.63,90.54,35.4557359,-79.2158565
0.001,511.09,56.00,35.4574621,-79.2171085
0.000,511.09,55.57,35.4573410,-79.2170051
0.000,610.59,100.14,35.4573877,-79.2172354
0.001,610.58,100.92,35.4573328,-79.2173279
0.002,610.59,99.91,35.4573343,-79.2171860
0.000,511.09,51.94,35.4584223,-79.2167174
0.002,511.09,58.19,35.4584375,-79.2177084
0.001,511.09,51.77,35.4583626,-79.2166241
0.000,511.09,48.58,35.4595658,-79.2166040
0.000,511.09,49.40,35.4595649,-79.2166926
0.002,511.09,56.71,35.4595559,-79.2176839
0.001,511.09,48.10,35.4595042,-79.2166050
0.002,511.09,49.29,35.4596815,-79.2166014
0.001,511.09,48.42,35.4596852,-79.2164242
0.000,511.09,58.89,35.4613197,-79.2157282
0.000,511.09,58.99,35.4613528,-79.2157889
0.001,511.09,58.17,35.4611858,-79.2156583
0.000,511.09,58.58,35.4612496,-79.2156129
0.002,511.09,58.38,35.4611943,-79.2155308
0.002,511.09,59.51,35.4613840,-79.2158459
0.000,511.09,64.39,35.4618192,-79.2168419
0.000,511.09,60.19,35.4615077,-79.2157593
0.003,511.09,64.27,35.4618073,-79.2170141
0.003,511.09,67.82,35.4601661,-79.2184006
0.000,511.09,65.54,35.4619540,-79.2170572
0.000,511.09,64.80,35.4618755,-79.2168559
0.000,511.09,69.00,35.4622939,-79.2169599
0.003,511.09,56.39,35.4597739,-79.2150945
0.001,511.09,47.61,35.4584010,-79.2150995
0.001,511.09,57.41,35.4597710,-79.2149143
0.001,610.56,100.14,35.4567783,-79.2190468
0.002,610.56,105.99,35.4582699,-79.2194526
0.000,610.56,98.71,35.4566441,-79.2189252
0.000,610.57,101.41,35.4566697,-79.2187234
0.002,610.57,100.59,35.4565272,-79.2186999
0.000,610.56,105.55,35.4582420,-79.2195362
0.000,610.56,106.19,35.4583502,-79.2194931
0.001,610.56,105.22,35.4582873,-79.2196610
0.001,610.56,96.95,35.4587872,-79.2213321
0.000,610.56,104.58,35.4593553,-79.2200571
0.001,610.56,104.24,35.4592768,-79.2200076
0.001,610.56,105.65,35.4594869,-79.2201241
0.000,610.56,106.09,35.4595315,-79.2201468
0.001,610.56,104.79,35.4594214,-79.2202811
0.001,610.56,97.53,35.4589098,-79.2212318
0.000,610.56,96.83,35.4587814,-79.2211653
0.000,610.56,104.29,35.4593185,-79.2201542
0.000,511.17,68.61,35.4649047,-79.2151691
0.000,511.17,69.04,35.4646597,-79.2154880
0.000,511.17,69.04,35.4646236,-79.2155350
0.000,511.17,69.99,35.4645459,-79.2153649
0.000,511.16,70.57,35.4651904,-79.2148000
0.000,511.16,71.21,35.4650836,-79.2146688
0.010,511.16,67.76,35.4658438,-79.2154464
0.000,511.16,67.15,35.4659432,-79.2153119
0.000,511.16,69.04,35.4656603,-79.2162227
0.000,511.16,69.04,35.4656099,-79.2162887
0.000,511.16,69.23,35.4657634,-79.2163398
0.000,610.61,85.83,35.4553329,-79.2139409
